"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (30)";"Code_2 (30)";"Code_3 (-5)";"Code_4 (-5)";"Total_Marks (100)";"Comments"
21ME10100;20;20;30;30;0;0;100;========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
21ME10005;20;20;30;30;0;0;100;========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!Proper Syntax and coding structure (eg. indentation variable declation etc) is not followed!!  !!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
21ME30015;0;0;0;0;0;0;0;LT file was not submitted properly !!Mark/s lost: 100 out of 100!!==============================!!############ TOTAL MARKS OBTAINED = 0 ############
21MA10017;0;0;15;15;0;0;30;========= TEST CASES =========!!FAILED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!! !!  Mark/s obtained: 0 out of 20!!FAILED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!! !!  Mark/s obtained: 0 out of 20!!========= CODE CASES =========!!FAILED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 15 out of 30!!FAILED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 15 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 30 ############
21IM10011;20;20;30;30;0;0;100;========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
21ME10024;20;20;30;30;0;0;100;========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
21IM30007;0;20;30;30;0;0;80;========= TEST CASES =========!!FAILED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!! !!  Mark/s obtained: 0 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 80 ############
21ME10043;20;20;30;30;0;0;100;========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
21MA10036;20;20;30;30;0;0;100;For more efficiency you can put the line `meanX += x[i]` inside the first loop after the scanf same for the y as well.!!========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  !!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
21ME10062;20;20;30;30;0;0;100;More comments needed!!========= TEST CASES =========!!PASSED: Test Case 1: !!{INPUT:!!x-coordinates: 8 2 11 6 5 4 12 9 6 1!!y-coordinates: 3 10 3 6 8 12 1 4 9 14}!!{OUTPUT:!!m=-1.11 b=14.08 Line equation y='-1.11x + 14.08'}!!  Mark/s obtained: 20 out of 20!!PASSED: Test Case 2: !!{INPUT:!!x-coordinates: 1 2 3 4 5 6 7 8 9 10!!y-coordinates: 1 2 3 4 5 6 7 8 9 10 }!!{OUTPUT:!!m=1.00 b=0.00 Line equation y='1.00x + 0.00'}!!  Mark/s obtained: 20 out of 20!!========= CODE CASES =========!!PASSED: Code Case 1:!!Logic is correct and gives expected output!!  Mark/s obtained: 30 out of 30!!PASSED: Code Case 2:!!Efficient and Optimal steps used to get to output!!  Mark/s obtained: 30 out of 30!!  Mark/s lost: -4 out of -5!!==============================!!########### TOTAL MARKS OBTAINED = 100 ############
