"Student_Name";"Test_Case_1 (10)";"Test_Case_2 (10)";"Test_Case_3 (10)";"Test_Case_4 (10)";"Code_1 (10)";"Code_2 (10)";"Code_3 (10)";"Code_4 (10)";"Code_5 (10)";"Code_6 (10)";"Total_Marks (100)";"Comments"
22AE10002;10;10;10;0;10;10;10;10;10;10;90;========= TEST CASES =========~~~~~~FAILED: Test Case 4: ~~IN:~~ 24    42~~~~Exp OUT:~~Perfect Pair~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter two numbers: Not a perfect number~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~digits counted~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~extracted digits~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 4:~~checked for wrong Input~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 5:~~checked for negative numbers~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 90 ############
22AE10022;0;0;10;10;10;10;10;0;10;10;70;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~IN:~~ 21   123~~~~Exp OUT:~~Wrong Input~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter two integersPerfect pair~~~~FAILED: Test Case 2: ~~IN:~~-659  956~~~~Exp OUT:~~Not a Perfect Pair~~~~ ~~  Mark/s obtained: 0 out of 10~~~~~~Your output:~~Enter two integersPerfect pair~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Input taken~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 2:~~digits counted~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 3:~~extracted digits~~  Mark/s obtained: 10 out of 10~~~~~~FAILED: Code Case 4:~~checked for wrong Input~~  Mark/s obtained: 0 out of 10~~~~~~PASSED: Code Case 5:~~checked for negative numbers~~  Mark/s obtained: 10 out of 10~~~~~~PASSED: Code Case 6:~~printed output~~  Mark/s obtained: 10 out of 10~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 70 ############
