"Student_Name";"Test_Case_1 (20)";"Test_Case_2 (20)";"Code_1 (30)";"Code_2 (30)";"Code_3 (-5)";"Code_4 (-5)";"Total_Marks (100)";"Comments"
21MA10036;20;20;30;30;0;0;100;Great Job~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~~~  Mark/s obtained: 20 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
21ME10005;20;20;30;30;0;0;100;Great Job~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~~~  Mark/s obtained: 20 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
21MA10055;20;20;30;30;0;0;100;Good work~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~~~  Mark/s obtained: 20 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
21ME10024;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21IM10011;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
21IM10030;20;20;30;30;0;0;100;Perfect~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~~~  Mark/s obtained: 20 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
21MA10017;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME10043;20;20;30;30;0;0;100;Good~~~~========= TEST CASES =========~~~~~~PASSED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~~~  Mark/s obtained: 20 out of 20~~~~~~PASSED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~~~  Mark/s obtained: 20 out of 20~~~~~~========= CODE CASES =========~~~~~~PASSED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 30 out of 30~~~~~~PASSED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 30 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 100 ###########
21IM30026;10;10;20;20;0;0;60;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~ ~~  Mark/s obtained: 10 out of 20~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~ ~~  Mark/s obtained: 10 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 20 out of 30~~~~~~FAILED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 20 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 60 ############
21IM30007;5;5;15;15;0;0;40;========= TEST CASES =========~~~~~~FAILED: Test Case 1: ~~~~INPUT:~~2 4~~~~OUTPUT:~~22222 22244 22424 22442 22444 24224 24242 24244 24422 24424 24442 42224 42242 42244 42422 42424 42442 44222 44224 44242 44422 44444~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~FAILED: Test Case 2: ~~~~INPUT:~~5 7~~~~OUTPUT:~~55555 55557 55575 55577 55755 55757 55775 55777 57555 57557 57575 57577 57755 57757 57775 57777 75555 75557 75575 75577 75755 75757 75775 75777 77555 77557 77575 77577 77755 77757 77775 77777~~~~ ~~  Mark/s obtained: 5 out of 20~~~~~~========= CODE CASES =========~~~~~~FAILED: Code Case 1:~~Logic is correct and gives expected output~~  Mark/s obtained: 15 out of 30~~~~~~FAILED: Code Case 2:~~Efficient and Optimal steps used to get to output~~  Mark/s obtained: 15 out of 30~~~~~~==============================~~~~########### TOTAL MARKS OBTAINED = 40 ############
21ME10062;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME10081;0;0;0;0;0;0;0;LT file was not submitted properly ~~Mark/s lost: 100 out of 100~~~~~~==============================~~~~############ TOTAL MARKS OBTAINED = 0 ############
21ME10100;0;0;0;0;0;0;0;<PLAG DETECTED - AWARDED 0>~~~~If you have not copied from anywhere,~~Please do not panic.~~Plag is decided by a plag checking program.~~For now continue to do your best.
